,price,type,job_name,time,cost,eff
ml.m5.large,0.134,cpu,sagemaker-tennis-cpu-2020-07-04-16-59-40-971,865.0,3.2197222222222224,2785.0597222222223
ml.m5.xlarge,0.269,cpu,sagemaker-tennis-cpu-2020-07-04-16-59-41-514,1169.0,8.735027777777777,10211.247472222221
ml.m5.2xlarge,0.538,cpu,sagemaker-tennis-cpu-2020-07-04-16-59-42-002,1063.0,15.885944444444444,16886.758944444446
ml.m4.xlarge,0.28,cpu,sagemaker-tennis-cpu-2020-07-04-16-59-45-382,1470.0,11.433333333333334,16807.0
ml.m4.2xlarge,0.56,cpu,sagemaker-tennis-cpu-2020-07-04-16-59-47-773,996.0,15.493333333333336,15431.360000000002
ml.c5.xlarge,0.238,cpu,sagemaker-tennis-cpu-2020-07-04-16-59-48-369,990.0,6.544999999999999,6479.549999999999
ml.c5.2xlarge,0.476,cpu,sagemaker-tennis-cpu-2020-07-04-16-59-50-878,972.0,12.852,12492.144
ml.c5n.xlarge,0.302,cpu,sagemaker-tennis-cpu-2020-07-04-16-59-51-760,1056.0,8.858666666666666,9354.752
ml.c5n.2xlarge,0.605,cpu,sagemaker-tennis-cpu-2020-07-04-16-59-57-942,900.0,15.125,13612.5
ml.c4.xlarge,0.279,cpu,sagemaker-tennis-cpu-2020-07-04-16-59-58-288,1284.0,9.951000000000002,12777.084000000003
ml.c4.2xlarge,0.557,cpu,sagemaker-tennis-cpu-2020-07-04-17-00-01-117,846.0,13.089500000000001,11073.717
ml.p2.xlarge,1.26,gpu,sagemaker-tennis-gpu-2020-07-04-17-00-03-638,1960.0,68.6,134456.0
ml.g4dn.xlarge,0.736,gpu,sagemaker-tennis-gpu-2020-07-04-17-00-04-435,861.0,17.602666666666668,15155.896
ml.g4dn.2xlarge,1.053,gpu,sagemaker-tennis-gpu-2020-07-04-17-00-04-838,828.0,24.218999999999998,20053.332
